age;-1750;-1250;-750;-250;250;750;1250;1750;2250;2750;3250;3750;4250;4750;5250;5750;6250;6750;7250;7750;8250;8750;9250
Radius;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109
Model;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Abies;410;489;731;848;402;421;272;339;234;177;169;25;22;4;1;0;1;0;0;0;0;0;6
Alnus;291;288;301;584;317;316;243;341;254;259;407;296;253;310;287;302;243;263;102;12;19;24;35
Betula;338;549;316;364;301;248;175;159;92;164;207;157;238;290;307;357;390;434;498;510;989;1707;2996
Carpinus;21;31;57;145;32;30;14;21;9;11;8;2;0;0;0;0;0;0;0;0;0;0;0
Corylus;389;335;305;323;182;226;241;275;269;392;576;498;623;992;1069;1369;1070;1567;2035;1801;997;306;23
Fagus;459;839;946;1220;652;737;371;563;443;466;828;711;492;345;64;14;4;1;0;1;0;0;0
Picea;1003;1132;1263;1114;508;671;371;584;456;692;1066;755;924;908;1054;1346;1441;869;335;335;27;11;7
Pinus;683;548;449;483;450;283;170;161;117;175;191;174;207;458;456;920;1145;1196;1200;1542;3033;3561;3158
Poaceae;303;285;173;111;115;121;63;51;37;52;73;71;76;131;98;155;182;190;194;227;406;496;749
Quercus;111;169;195;262;192;93;105;96;118;134;195;180;206;298;255;277;207;283;241;113;19;9;12
Tilia;25;15;14;11;16;16;14;10;16;30;33;52;77;78;98;160;131;91;87;57;2;0;0
Ulmus;25;35;41;36;19;21;11;30;23;31;64;46;89;205;196;256;201;224;184;170;117;91;28
