age;-1750;-1250;-750;-250;250;750;1250;1750;2250;2750;3250;3750;4250;4750;5250;5750;6250;6750;7250;7750
Radius;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122
Model;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Abies;43;210;188;154;216;197;185;142;48;21;21;33;8;2;13;8;10;2;3;0
Alnus;26;63;72;50;58;153;60;87;48;67;55;41;75;68;79;107;82;26;11;3
Betula;45;44;67;41;43;106;36;52;32;72;62;72;97;57;120;146;234;316;262;18
Carpinus;1;17;13;1;7;7;6;3;0;3;0;0;0;0;1;0;0;0;0;0
Corylus;8;16;18;11;10;30;38;59;55;97;91;65;94;84;106;116;178;86;94;7
Fagus;36;212;221;164;217;228;201;203;264;306;151;219;123;26;52;17;13;1;3;0
Picea;156;193;186;215;260;285;225;394;417;445;657;435;397;228;415;291;280;44;36;1
Pinus;304;117;193;94;80;113;68;66;73;92;91;97;128;66;133;188;492;969;479;53
Poaceae;26;18;13;12;15;11;13;11;9;14;11;20;6;12;39;42;142;278;966;42
Quercus;5;16;7;14;19;25;9;17;18;32;36;19;23;23;29;22;34;6;12;0
Tilia;1;2;5;0;1;1;1;6;10;14;14;13;23;19;20;23;37;5;4;0
Ulmus;1;3;1;0;2;5;3;5;7;8;15;12;12;16;29;7;13;9;6;1
